Tool(s),Available commands,amd64 ,aarch64,riscv64,Installation function
iproute2,,✅  ,✅,✅, common_nettools
macchanger,macchanger,✅  ,✅  ,✅, common_nettools
tshart,tshark,✅  ,✅  ,✅, common_nettools
aircrack-ng,airbase-ng | aircrack-ng | airdecap-ng | airdecloak-ng | aireplay-ng | airmon-ng | airodump-ng | airodump-ng-oui-update | airolib-ng | easside-ng | etc.,✅  ,✅  ,✅, aircrack_soft_install
reaver,reaver,✅  ,✅  ,✅, reaver_soft_install
bully,bully,✅  ,✅ ,✅ ,bully_soft_install
pixiewps,pixiewps,✅  ,✅ ,✅ , pixiewps_soft_install
Pyrit,,✅  ,❓,❓, Pyrit_soft_install
eaphammer,/rftools/wifi/airgeddon/eaphammer,✅  ,✅  ,✅ , eaphammer_soft_install
airgeddon,/rftools/wifi/airgeddon/,✅  ,✅,✅  ,airgeddon_soft_install 
wifite2,/rftools/wifi/wifite2/,✅  ,✅ ,✅ , wifite2_soft_install 
sparrow-wifi,/rftools/sparrow-wifi/sparrow-wifi.py,✅  ,✅,✅ ,sparrowwifi_sdr_soft_install
